,PE
0,449.36623584597555
1,450.8234779224562
2,460.8905060859776
3,467.5600387761293
4,469.81082785091934
5,449.7985825466481
6,460.63388317652567
7,445.3252112990713
8,454.87362552469307
9,456.7721603404347
10,446.27176430259334
11,472.63979495378504
12,475.5220886654532
13,492.6695010085496
14,452.77633447685804
15,451.27117118369796
16,442.63256365613955
17,447.8687706567622
18,464.3917985951937
19,454.3500894504322
20,475.41563374460367
21,463.205480097151
22,467.90885479705486
23,452.67767949358796
24,468.3011535622713
25,484.80970389330133
26,464.04122967230256
27,459.8319490919158
28,462.4001366386759
29,453.9380548577247
30,454.5820556871582
31,492.4867347969533
32,500.2085249986141
33,504.4753684333186
34,454.0967886436453
35,458.93843983915013
36,486.26006687577683
37,456.88353768992187
38,467.31832030929036
39,494.78771587652915
40,445.80829432511524
41,468.96595100378266
42,448.0033939366717
43,469.72650995519103
44,491.9693356498238
45,492.3532351740326
46,467.57908764933325
47,454.4092041489909
48,502.79493036302523
49,467.8230248395759
50,463.08130849702155
51,491.1627888876175
52,473.66760784524587
53,492.1051542173413
54,441.63833356236063
55,460.54203321986574
56,495.6630624872967
57,490.14106991109367
58,501.6247245204923
59,460.34152835370276
60,446.18051803186114
61,444.041876891447
62,443.4954655180107
63,443.65109924876225
64,450.9139844152279
65,445.0792364657079
66,474.04489048764754
67,479.64167727091376
68,494.6531616040811
69,460.40873729919343
70,460.14577647073185
71,503.6594298861451
72,448.40693473160877
73,479.75240742879345
74,474.71479797068145
75,449.0166057978609
76,467.70066771916987
77,450.6736313280763
78,497.0562860753433
79,455.10690639659646
80,473.40194719926245
81,477.17471065969363
82,446.7766440220484
83,495.5330373396655
84,490.2991536748266
85,451.32158616522395
86,476.28848877138057
87,467.4916832130954
88,463.3012785015299
89,452.4995459731113
90,490.61652348152023
91,449.563008515283
92,485.2699072488893
93,490.14933575838353
94,445.74063104787484
95,456.3377989860708
96,454.67450483322153
97,443.9855477397566
98,479.6856994930928
99,470.6413122826361
100,483.48937583440915
101,450.94592633204087
102,489.9226804442579
103,449.432506968924
104,505.11651457513864
105,454.1841715488759
106,469.05154120493125
107,493.47595407254306
108,474.8369962467551
109,486.4518853258034
110,444.94274702854693
111,462.223441117494
112,488.78971650624567
113,488.6248915440519
114,451.9864257427156
115,501.5602404789386
