id,risk_flag,risk_flag_proba
1,1,0.7448316179405733
2,1,0.7463574808028771
3,1,0.6754421653032792
4,1,0.7128368847546338
5,1,0.7477845928423483
6,1,0.7269263095215969
7,1,0.7711886846485442
8,1,0.728661188769414
9,0,0.4281151857225517
10,1,0.7258083017380987
11,1,0.6843609221159209
12,0,0.3497630708600539
13,1,0.7697757135050307
14,1,0.7720682889132786
15,1,0.6912303059371085
16,1,0.7605106207758945
17,1,0.6921003569450428
18,1,0.7274115467191408
19,1,0.6842525827340533
20,1,0.74591466177495
21,1,0.7804077424204751
22,1,0.7307228855417748
23,1,0.7262651817335727
24,0,0.39767610285687494
25,1,0.7316748496262426
26,1,0.6918973835478828
27,1,0.7805710438384246
28,0,0.4421709124804115
29,1,0.7707451175503139
30,0,0.4020364955203246
31,1,0.5982684789606393
32,1,0.7818386420958896
33,1,0.7425406776114474
34,0,0.40640145459377763
35,1,0.7359543313940863
36,1,0.7477365272257407
37,1,0.7303051555531798
38,1,0.7143866913439904
39,0,0.41061199063128223
40,0,0.36669452328083857
41,1,0.7258122951713117
42,0,0.4079621815839162
43,1,0.6863334177290352
44,1,0.719337036313389
45,1,0.7327625098714848
46,1,0.7700279388077308
47,1,0.7291173572105083
48,1,0.7071625220303914
49,0,0.3758385735304504
50,1,0.7302952576540462
51,1,0.7531847657711928
52,1,0.7303051555531798
53,0,0.40240750539128106
54,0,0.4288875314431385
55,1,0.7370009630259474
56,1,0.6390222895437971
57,1,0.7463574808028771
58,1,0.7298775276654513
59,1,0.6305103040702517
60,1,0.6436062498002515
61,1,0.6963527758952966
62,1,0.7270399441773147
63,1,0.7376437471685863
64,0,0.31808688349907954
65,1,0.650989809351999
66,0,0.43199270265083856
67,0,0.43112400841273785
68,0,0.4352771679055292
69,0,0.3981742797620134
70,1,0.6465740164120546
71,1,0.6425693851243602
72,1,0.7294835063695345
73,0,0.33864991710058256
74,0,0.35712401206260985
75,1,0.7254962956104427
76,1,0.7096980509113925
77,1,0.6876373541473485
